Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Age (HMM)
S18 0638,ODP1209,A,4,H,3,0,2,30.2,33.87,2348.2
S18 0639,ODP1209,A,4,H,3,5,7,30.25,33.92,2358.8
S18 0640,ODP1209,A,4,H,3,15,17,30.35,34.02,2366.6
S18 0641,ODP1209,A,4,H,3,25,27,30.45,34.12,2375.7
S18 0642,ODP1209,A,4,H,3,30,32,30.5,34.17,2379.3
S18 0643,ODP1209,A,4,H,3,37,39,30.57,34.24,2384.9
S18 0644,ODP1209,A,4,H,3,44,46,30.64,34.31,2389.8
S18 0645,ODP1209,A,4,H,3,55,57,30.75,34.42,2397.1
S18 0646,ODP1209,A,4,H,3,59,61,30.79,34.46,2400.0
S18 0647,ODP1209,A,4,H,3,65,67,30.85,34.52,2404.2
S18 0648,ODP1209,A,4,H,3,75,77,30.95,34.62,2410.9
S18 0649,ODP1209,A,4,H,3,85,87,31.05,34.72,2417.1
S18 0650,ODP1209,A,4,H,3,90,92,31.1,34.77,2420.0
S18 0621,ODP1209,A,4,H,3,95,97,31.15,34.82,2422.9
S18 0622,ODP1209,A,4,H,3,105,107,31.25,34.92,2429.6
S18 0623,ODP1209,A,4,H,3,115,117,31.35,35.02,2435.6
S18 0624,ODP1209,A,4,H,3,120,122,31.4,35.07,2438.9
S18 0625,ODP1209,A,4,H,3,125,127,31.45,35.12,2442.0
S18 0626,ODP1209,A,4,H,3,135,137,31.55,35.22,2447.1
S18 0761,ODP1209,A,4,H,3,140,142,31.6,35.27,2450.0
S18 0762,ODP1209,A,4,H,3,145,147,31.65,35.32,2453.4
S18 0763,ODP1209,A,4,H,4,5,7,31.75,35.42,2463.6
S18 0764,ODP1209,A,4,H,4,15,17,31.85,35.52,2472.9
S18 0765,ODP1209,A,4,H,4,25,27,31.95,35.62,2480.7
S18 0766,ODP1209,A,4,H,4,30,32,32,35.67,2485.2
S18 0767,ODP1209,A,4,H,4,34,36,32.04,35.71,2488.7
S18 0768,ODP1209,A,4,H,4,45,47,32.15,35.82,2494.9
S18 0769,ODP1209,A,4,H,4,55,57,32.25,35.92,2499.4
S18 0770,ODP1209,A,4,H,4,61,63,32.31,35.98,2501.4
S18 0771,ODP1209,A,4,H,4,65,67,32.35,36.02,2503.0
S18 0772,ODP1209,A,4,H,4,75,77,32.45,36.12,2506.1
S18 0773,ODP1209,A,4,H,4,85,87,32.55,36.22,2509.4
S18 0774,ODP1209,A,4,H,4,90,92,32.6,36.27,2511.2
S18 0775,ODP1209,A,4,H,4,95,97,32.65,36.32,2513.2
S18 0776,ODP1209,A,4,H,4,104,106,32.74,36.41,2517.6
S18 0777,ODP1209,A,4,H,4,117,119,32.87,36.54,2530.1
S18 0778,ODP1209,A,4,H,4,119.5,121.5,32.895,36.565,2532.1
S18 0779,ODP1209,A,4,H,4,126,128,32.96,36.63,2536.3
S17 3813,ODP1209,A,4,H,4,143,145,33.13,36.8,2545.0
S17 3797,ODP1209,A,4,H,5,5,7,33.25,36.92,2550.8
S17 3798,ODP1209,A,4,H,5,15,17,33.35,37.02,2555.0
S17 3799,ODP1209,A,4,H,5,25,27,33.45,37.12,2559.2
S17 3800,ODP1209,A,4,H,5,34,36,33.54,37.21,2562.6
S17 3801,ODP1209,A,4,H,5,45,47,33.65,37.32,2566.3
S17 3802,ODP1209,A,4,H,5,55,57,33.75,37.42,2570.3
S17 3803,ODP1209,A,4,H,5,65,67,33.85,37.52,2575.0
S17 3804,ODP1209,A,4,H,5,75,77,33.95,37.62,2580.8
S17 3805,ODP1209,A,4,H,5,85,87,34.05,37.72,2587.9
S17 3806,ODP1209,A,4,H,5,95,97,34.15,37.82,2594.6
S17 3807,ODP1209,A,4,H,5,105,107,34.25,37.92,2599.5
S17 3808,ODP1209,A,4,H,5,115,117,34.35,38.02,2604.4
S17 3809,ODP1209,A,4,H,5,125,127,34.45,38.12,2609.7
S17 3810,ODP1209,A,4,H,5,135,137,34.55,38.22,2616.6
S17 3811,ODP1209,A,4,H,5,145,147,34.65,38.32,2623.0
S17 3794,ODP1209,A,4,H,6,5,7,34.75,38.42,2628.8
S17 3795,ODP1209,A,4,H,6,15,17,34.85,38.52,2633.0
S17 3791,ODP1209,B,5,H,1,125,127,34.85,38.57,2635.3
S17 3796,ODP1209,A,4,H,6,25,27,34.95,38.62,2637.3
S17 3792,ODP1209,B,5,H,1,135,137,34.95,38.67,2639.3
S17 3793,ODP1209,B,5,H,1,145,147,35.05,38.77,2642.8
S18 0780,ODP1209,B,5,H,2,0,2,35.1,38.82,2644.8
S17 3536,ODP1209,B,5,H,2,5,7,35.15,38.87,2646.6
S17 3537,ODP1209,B,5,H,2,15,17,35.25,38.97,2650.2
S17 3538,ODP1209,B,5,H,2,25,27,35.35,39.07,2654.6
S17 3539,ODP1209,B,5,H,2,35,37,35.45,39.17,2659.5
S17 3540,ODP1209,B,5,H,2,45,47,35.55,39.27,2663.7
