depth,age_ka,d18O_unadj,d18O
114.12,2413.84,2.72,3.36
114.22,2415.81,2.59,3.23
114.32,2417.78,2.66,3.3
114.42,2419.75,2.72,3.36
114.52,2421.72,2.64,3.28
114.62,2423.69,2.75,3.39
114.72,2425.66,2.73,3.37
114.82,2427.63,3.01,3.65
114.92,2429.61,3.38,4.02
115.02,2431.58,3.37,4.01
115.12,2433.55,3.77,4.41
115.22,2435.52,3.66,4.3
115.32,2437.49,3.43,4.07
115.42,2439.46,3.62,4.26
115.52,2441.43,3.29,3.93
115.62,2443.4,3.48,4.12
115.72,2445.37,3.07,3.71
115.82,2447.35,3.46,4.1
115.92,2449.32,3.49,4.13
116.04,2451.68,3.4,4.04
116.14,2453.53,3.1,3.74
116.24,2455.21,3.27,3.91
116.34,2456.9,3.06,3.7
116.44,2458.58,2.83,3.47
116.54,2460.27,2.88,3.52
116.62,2461.62,2.66,3.3
116.72,2463.3,2.52,3.16
116.82,2464.99,2.59,3.23
116.92,2466.67,2.57,3.21
117.02,2468.36,2.56,3.2
117.12,2470.04,2.72,3.36
117.22,2471.73,2.6,3.24
117.32,2473.42,2.87,3.51
117.42,2475.1,2.89,3.53
117.52,2476.79,3.14,3.78
117.62,2478.47,3.19,3.83
117.72,2480.69,3.19,3.83
117.82,2483.02,3.88,4.52
117.92,2485.36,3.76,4.4
118.02,2487.69,3.79,4.43
118.12,2490.02,3.42,4.06
118.22,2492.36,3.33,3.97
118.32,2494.68,3.2,3.84
118.42,2496.44,3.07,3.71
118.52,2498.2,2.95,3.59
118.62,2499.97,2.62,3.26
118.72,2501.73,2.58,3.22
118.92,2505.25,2.79,3.43
119.02,2507.01,2.99,3.63
119.12,2508.78,2.99,3.63
119.22,2510.54,3.06,3.7
119.32,2512.73,3.63,4.27
119.42,2515.05,3.59,4.23
119.52,2517.37,3.75,4.39
119.62,2519.7,3.82,4.46
119.72,2522.02,3.72,4.36
119.82,2524.34,3.67,4.31
119.92,2526.66,3.81,4.45
120.02,2528.99,3.66,4.3
120.12,2531.31,3.44,4.08
120.22,2533.63,3.47,4.11
120.32,2535.95,3.22,3.86
120.42,2538.27,3.27,3.91
120.44,2538.74,3.07,3.71
120.54,2540.88,2.93,3.57
120.64,2542.87,2.82,3.46
120.74,2544.87,2.6,3.24
120.84,2546.86,2.62,3.26
120.94,2548.85,2.45,3.09
121.04,2550.85,2.44,3.08
121.14,2552.84,2.42,3.06
121.24,2554.84,2.55,3.19
121.34,2556.83,2.73,3.37
121.46,2559.1,2.72,3.36
121.56,2560.75,2.78,3.42
121.66,2562.4,2.81,3.45
121.76,2564.05,2.75,3.39
121.86,2565.69,2.89,3.53
121.96,2567.34,2.91,3.55
122.06,2568.99,2.82,3.46
122.16,2570.63,2.82,3.46
122.26,2572.28,2.81,3.45
122.36,2573.93,2.76,3.4
122.46,2575.57,2.78,3.42
122.56,2577.22,2.65,3.29
122.66,2579.45,2.57,3.21
122.74,2581.27,2.44,3.08
122.8,2582.63,2.59,3.23
122.84,2583.54,2.45,3.09
122.94,2585.81,2.73,3.37
123.04,2588.08,2.52,3.16
123.14,2590.35,2.64,3.28
123.24,2592.63,3.05,3.69
123.34,2595.07,3.01,3.65
123.44,2597.59,3.13,3.77
123.54,2600.11,3.53,4.17
123.64,2602.63,3.39,4.03
123.74,2605.15,2.82,3.46
123.84,2607.67,3.26,3.9
123.94,2610.19,3.1,3.74
124.04,2612.71,3.02,3.66
124.14,2615.05,2.76,3.4
124.24,2617.24,2.57,3.21
124.36,2619.86,2.45,3.09
124.46,2622.05,2.59,3.23
124.56,2624.24,2.7,3.34
124.74,2628.17,2.47,3.11
124.84,2630.36,2.6,3.24
124.94,2632.55,2.39,3.03
125.04,2634.73,2.83,3.47
125.14,2636.92,2.8,3.44
125.24,2638.71,2.98,3.62
125.34,2640.49,2.85,3.49
125.44,2642.28,3.18,3.82
125.55,2644.24,3.18,3.82
125.65,2646.02,3.09,3.73
125.76,2647.98,2.95,3.59
