Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18O_cib_adj,d13C_cib_adj,age_ka
ODP1209,A,4,H,3,0,2,30.2,33.87,CWUEL,2.85,-0.086,3.49,-0.086,2348.2
ODP1209,A,4,H,3,5,7,30.25,33.92,CWUEL,2.946,-0.14,3.586,-0.14,2358.8
ODP1209,A,4,H,3,15,17,30.35,34.02,CWUEL,3.422,-0.324,4.062,-0.324,2366.6
ODP1209,A,4,H,3,25,27,30.45,34.12,CWUEL,2.941,0.139,3.581,0.139,2375.7
ODP1209,A,4,H,3,30,32,30.5,34.17,CWUEL,2.927,0.217,3.567,0.217,2379.3
ODP1209,A,4,H,3,37,39,30.57,34.24,CWUEL,3.024,0.163,3.664,0.163,2384.9
ODP1209,A,4,H,3,44,46,30.64,34.31,CWUEL,3.04,0.069,3.68,0.069,2389.8
ODP1209,A,4,H,3,55,57,30.75,34.42,CWUEL,3.116,0.005,3.756,0.005,2397.1
ODP1209,A,4,H,3,59,61,30.79,34.46,CWUEL,3.043,-0.14,3.683,-0.14,2400
ODP1209,A,4,H,3,65,67,30.85,34.52,CWUEL,3.049,0.002,3.689,0.002,2404.2
ODP1209,A,4,H,3,75,77,30.95,34.62,CWUEL,3.025,0.059,3.665,0.059,2410.9
ODP1209,A,4,H,3,85,87,31.05,34.72,CWUEL,2.861,0.003,3.501,0.003,2417.1
ODP1209,A,4,H,3,90,92,31.1,34.77,CWUEL,3.078,-0.141,3.718,-0.141,2420
ODP1209,A,4,H,3,95,97,31.15,34.82,CWUEL,3.05,-0.016,3.69,-0.016,2422.9
ODP1209,A,4,H,3,105,107,31.25,34.92,CWUEL,3.606,-0.449,4.246,-0.449,2429.6
ODP1209,A,4,H,3,115,117,31.35,35.02,CWUEL,3.623,-0.233,4.263,-0.233,2435.6
ODP1209,A,4,H,3,120,122,31.4,35.07,CWUEL,3.559,-0.507,4.199,-0.507,2438.9
ODP1209,A,4,H,3,125,127,31.45,35.12,CWUEL,3.445,-0.564,4.085,-0.564,2442
ODP1209,A,4,H,3,135,137,31.55,35.22,CWUEL,3.501,-0.563,4.141,-0.563,2447.1
ODP1209,A,4,H,3,140,142,31.6,35.27,CWUEL,3.133,-0.227,3.773,-0.227,2450
ODP1209,A,4,H,3,145,147,31.65,35.32,CWUEL,3.08,-0.201,3.72,-0.201,2453.4
ODP1209,A,4,H,4,5,7,31.75,35.42,CWUEL,2.828,-0.317,3.468,-0.317,2463.6
ODP1209,A,4,H,4,15,17,31.85,35.52,CWUEL,2.755,-0.429,3.395,-0.429,2472.9
ODP1209,A,4,H,4,25,27,31.95,35.62,CWUEL,3.403,-0.704,4.043,-0.704,2480.7
ODP1209,A,4,H,4,30,32,32,35.67,CWUEL,3.65,-0.463,4.29,-0.463,2485.2
ODP1209,A,4,H,4,34,36,32.04,35.71,CWUEL,3.458,-0.474,4.098,-0.474,2488.7
ODP1209,A,4,H,4,45,47,32.15,35.82,CWUEL,3.226,-0.184,3.866,-0.184,2494.9
ODP1209,A,4,H,4,55,57,32.25,35.92,CWUEL,2.583,1.05,3.223,1.05,2499.4
ODP1209,A,4,H,4,61,63,32.31,35.98,CWUEL,3.281,-0.5,3.921,-0.5,2501.4
ODP1209,A,4,H,4,65,67,32.35,36.02,CWUEL,2.674,0.077,3.314,0.077,2503
ODP1209,A,4,H,4,75,77,32.45,36.12,CWUEL,3.081,-0.511,3.721,-0.511,2506.1
ODP1209,A,4,H,4,85,87,32.55,36.22,CWUEL,3.369,-0.528,4.009,-0.528,2509.4
ODP1209,A,4,H,4,90,92,32.6,36.27,CWUEL,3.356,-0.46,3.996,-0.46,2511.2
ODP1209,A,4,H,4,95,97,32.65,36.32,CWUEL,3.314,-0.508,3.954,-0.508,2513.2
ODP1209,A,4,H,4,104,106,32.74,36.41,CWUEL,3.301,-0.504,3.941,-0.504,2517.6
ODP1209,A,4,H,4,117,119,32.87,36.54,CWUEL,3.409,-0.526,4.049,-0.526,2530.1
ODP1209,A,4,H,4,119.5,121.5,32.895,36.565,CWUEL,3.657,-0.627,4.297,-0.627,2532.1
ODP1209,A,4,H,4,126,128,32.96,36.63,CWUEL,3.404,-0.475,4.044,-0.475,2536.3
ODP1209,A,4,H,4,143,145,33.13,36.8,CWUEL,2.882,-0.057,3.522,-0.057,2545
ODP1209,A,4,H,5,5,7,33.25,36.92,CWUEL,2.784,0.024,3.424,0.024,2550.8
ODP1209,A,4,H,5,15,17,33.35,37.02,CWUEL,3.131,-0.252,3.771,-0.252,2555
ODP1209,A,4,H,5,25,27,33.45,37.12,CWUEL,3.098,-0.333,3.738,-0.333,2559.2
ODP1209,A,4,H,5,34,36,33.54,37.21,CWUEL,3.106,-0.062,3.746,-0.062,2562.6
ODP1209,A,4,H,5,45,47,33.65,37.32,CWUEL,3.348,-0.145,3.988,-0.145,2566.3
ODP1209,A,4,H,5,55,57,33.75,37.42,CWUEL,3.086,-0.122,3.726,-0.122,2570.3
ODP1209,A,4,H,5,65,67,33.85,37.52,CWUEL,3.183,-0.111,3.823,-0.111,2575
ODP1209,A,4,H,5,75,77,33.95,37.62,CWUEL,3.08,-0.146,3.72,-0.146,2580.8
ODP1209,A,4,H,5,85,87,34.05,37.72,CWUEL,2.838,-0.06,3.478,-0.06,2587.9
ODP1209,A,4,H,5,95,97,34.15,37.82,CWUEL,3.215,-0.465,3.855,-0.465,2594.6
