Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,age_ka
ODP1209,A,4,H,3,0,2,30.2,33.87,UVIG,3.53,-0.671,2348.2
ODP1209,A,4,H,3,5,7,30.25,33.92,UVIG,3.708,-0.759,2358.8
ODP1209,A,4,H,3,15,17,30.35,34.02,UVIG,4.205,-0.825,2366.6
ODP1209,A,4,H,3,25,27,30.45,34.12,UVIG,3.523,-0.252,2375.7
ODP1209,A,4,H,3,30,32,30.5,34.17,UVIG,3.561,-0.464,2379.3
ODP1209,A,4,H,3,37,39,30.57,34.24,UVIG,3.539,-0.363,2384.9
ODP1209,A,4,H,3,44,46,30.64,34.31,UVIG,3.807,-0.507,2389.8
ODP1209,A,4,H,3,55,57,30.75,34.42,UVIG,3.914,-0.667,2397.1
ODP1209,A,4,H,3,59,61,30.79,34.46,UVIG,3.822,-0.436,2400
ODP1209,A,4,H,3,65,67,30.85,34.52,UVIG,3.89,-0.648,2404.2
ODP1209,A,4,H,3,75,77,30.95,34.62,UVIG,3.673,-0.447,2410.9
ODP1209,A,4,H,3,85,87,31.05,34.72,UVIG,3.891,-0.686,2417.1
ODP1209,A,4,H,3,90,92,31.1,34.77,UVIG,3.659,-0.589,2420
ODP1209,A,4,H,3,95,97,31.15,34.82,UVIG,3.847,-0.773,2422.9
ODP1209,A,4,H,3,105,107,31.25,34.92,UVIG,4.334,-1.032,2429.6
ODP1209,A,4,H,3,115,117,31.35,35.02,UVIG,4.372,-1.061,2435.6
ODP1209,A,4,H,3,120,122,31.4,35.07,UVIG,4.39,-0.962,2438.9
ODP1209,A,4,H,3,125,127,31.45,35.12,UVIG,4.368,-0.957,2442
ODP1209,A,4,H,3,135,137,31.55,35.22,UVIG,4.135,-0.967,2447.1
ODP1209,A,4,H,3,140,142,31.6,35.27,UVIG,4.193,-0.826,2450
ODP1209,A,4,H,3,145,147,31.65,35.32,UVIG,4.066,-0.938,2453.4
ODP1209,A,4,H,4,5,7,31.75,35.42,UVIG,3.924,-0.801,2463.6
ODP1209,A,4,H,4,15,17,31.85,35.52,UVIG,4.022,-0.95,2472.9
ODP1209,A,4,H,4,25,27,31.95,35.62,UVIG,4.12,-1.1,2480.7
ODP1209,A,4,H,4,30,32,32,35.67,UVIG,4.268,-1.069,2485.2
ODP1209,A,4,H,4,34,36,32.04,35.71,UVIG,4.275,-0.979,2488.7
ODP1209,A,4,H,4,45,47,32.15,35.82,UVIG,3.813,-0.853,2494.9
ODP1209,A,4,H,4,55,57,32.25,35.92,UVIG,3.591,-0.831,2499.4
ODP1209,A,4,H,4,61,63,32.31,35.98,UVIG,4.039,-1.024,2501.4
ODP1209,A,4,H,4,65,67,32.35,36.02,UVIG,3.976,-0.932,2503
ODP1209,A,4,H,4,75,77,32.45,36.12,,,,2506.1
ODP1209,A,4,H,4,85,87,32.55,36.22,,,,2509.4
ODP1209,A,4,H,4,90,92,32.6,36.27,,,,2511.2
ODP1209,A,4,H,4,95,97,32.65,36.32,,,,2513.2
ODP1209,A,4,H,4,104,106,32.74,36.41,,,,2517.6
ODP1209,A,4,H,4,117,119,32.87,36.54,,,,2530.1
ODP1209,A,4,H,4,119.5,121.5,32.895,36.565,,,,2532.1
ODP1209,A,4,H,4,126,128,32.96,36.63,,,,2536.3
ODP1209,A,4,H,4,143,145,33.13,36.8,,,,2545
ODP1209,A,4,H,5,5,7,33.25,36.92,,,,2550.8
ODP1209,A,4,H,5,15,17,33.35,37.02,,,,2555
ODP1209,A,4,H,5,25,27,33.45,37.12,,,,2559.2
ODP1209,A,4,H,5,34,36,33.54,37.21,,,,2562.6
ODP1209,A,4,H,5,45,47,33.65,37.32,UVIG,3.974,-0.848,2566.3
ODP1209,A,4,H,5,55,57,33.75,37.42,UVIG,3.939,-0.598,2570.3
