depth,age_ka,d18O,MgCa,BWT,d18Osw
114.12,2413.84,3.36,1.99,6.48,0.25
114.32,2417.78,3.22,2.55,8.67,0.22
114.47,2420.74,3.20,2.14,7.13,0.12
114.57,2422.71,3.36,2.32,7.86,0.32
114.66,2424.48,3.41,2.27,7.67,0.36
114.74,2426.05,3.54,1.88,6.01,0.41
114.78,2426.84,3.54,2.04,6.73,0.44
114.82,2427.63,,2.36,8.00,
114.86,2428.42,3.68,1.93,6.23,0.56
114.90,2429.21,4.53,1.93,6.26,1.41
114.94,2430.00,4.53,2.29,7.76,1.48
114.98,2430.79,4.45,1.83,5.79,1.30
115.02,2431.58,4.46,2.07,6.89,1.37
115.06,2432.37,4.10,1.73,5.28,0.93
115.10,2433.16,4.49,1.88,6.04,1.36
115.14,2433.94,4.47,1.69,5.10,1.29
115.22,2435.52,4.39,1.94,6.32,1.27
115.30,2437.10,4.41,1.82,5.76,1.26
115.34,2437.88,4.45,1.81,5.69,1.30
115.38,2438.67,4.28,2.08,6.94,1.19
115.46,2440.25,4.44,1.78,5.54,1.28
115.54,2441.82,4.31,1.96,6.39,1.19
115.62,2443.40,4.30,1.83,5.82,1.16
115.70,2444.98,4.30,1.79,5.59,1.14
115.78,2446.56,4.42,1.71,5.19,1.24
115.86,2448.12,4.38,1.74,5.38,1.21
115.94,2449.67,4.17,1.84,5.84,1.03
116.02,2451.21,4.00,1.80,5.66,0.85
116.10,2452.76,4.17,1.96,6.40,1.05
116.18,2454.20,3.89,1.84,5.86,0.75
116.26,2455.55,3.89,2.08,6.95,0.80
116.34,2456.90,3.81,2.25,7.63,0.76
116.42,2458.25,3.62,2.26,7.66,0.57
116.50,2459.60,3.11,3.18,10.68,0.21
116.62,2461.62,,2.64,9.05,
116.66,2462.29,3.30,2.34,7.99,0.26
116.70,2462.97,3.23,2.41,8.26,0.21
116.74,2463.64,3.02,2.81,9.58,0.06
116.78,2464.32,,2.61,8.95,
116.82,2464.99,,2.48,8.48,
116.86,2465.66,3.07,2.60,8.92,0.08
116.90,2466.34,3.19,2.31,7.89,0.15
116.94,2467.01,3.18,2.56,8.76,0.18
116.98,2467.68,3.23,2.51,8.60,0.23
117.04,2468.69,3.18,2.70,9.23,0.21
117.08,2469.37,,3.00,10.18,
117.12,2470.04,3.18,3.02,10.23,0.26
117.16,2470.72,3.22,2.61,8.94,0.23
117.20,2471.39,3.16,2.51,8.61,0.16
117.24,2472.07,3.23,2.57,8.81,0.24
117.28,2472.74,3.44,2.67,9.14,0.46
117.32,2473.42,3.26,3.32,11.05,0.38
117.37,2474.26,3.52,2.58,8.86,0.53
117.42,2475.10,3.80,2.55,8.74,0.80
117.46,2475.77,3.82,2.92,9.93,0.88
117.50,2476.45,3.81,2.16,7.28,0.74
117.54,2477.12,3.89,2.02,6.71,0.79
117.58,2477.80,3.70,2.03,6.74,0.60
117.62,2478.47,3.83,,,
117.66,2479.38,4.02,1.66,5.00,0.83
117.70,2480.29,4.40,1.91,6.24,1.28
117.74,2481.20,4.31,1.57,4.51,1.10
117.78,2482.11,4.50,1.57,4.51,1.29
117.82,2483.02,4.60,1.66,5.01,1.42
117.90,2484.89,4.54,1.72,5.30,1.37
117.98,2486.76,4.60,1.82,5.81,1.46
118.06,2488.62,4.46,1.64,4.89,1.27
118.14,2490.49,4.26,2.06,6.89,1.17
118.22,2492.36,,2.31,7.90,
118.30,2493.99,3.95,1.88,6.09,0.82
118.38,2495.62,3.82,1.87,6.07,0.69
118.44,2496.79,3.30,2.07,6.95,0.21
118.46,2497.15,3.62,2.15,7.29,0.55
118.52,2498.20,3.24,2.17,7.36,0.18
118.54,2498.56,3.45,,,
118.62,2499.97,3.13,2.47,8.51,0.12
118.72,2501.73,3.19,2.38,8.19,0.16
118.74,2502.08,,2.39,8.22,
118.76,2502.43,,2.22,7.57,
118.78,2502.78,,2.29,7.83,
118.82,2503.49,3.19,1.82,5.81,0.05
118.86,2504.19,,2.41,8.29,
118.88,2504.55,,1.66,5.04,
118.94,2505.60,,2.61,8.98,
118.98,2506.31,,2.35,8.07,
119.00,2506.66,,2.46,8.47,
119.02,2507.01,2.99,2.31,7.90,-0.05
119.08,2508.07,3.23,,,
119.10,2508.42,,2.33,7.99,
119.12,2508.78,3.39,2.13,7.21,0.31
119.14,2509.13,2.92,2.50,8.62,-0.09
119.16,2509.48,3.00,2.19,7.46,-0.06
119.18,2509.83,3.08,1.80,5.75,-0.07
119.20,2510.19,3.78,1.94,6.39,0.66
119.22,2510.54,3.44,2.35,8.08,0.41
119.24,2510.94,3.97,1.85,5.99,0.83
119.26,2511.34,4.11,1.92,6.28,0.99
119.28,2511.80,4.15,1.76,5.54,0.99
119.30,2512.27,4.05,1.83,5.87,0.91
119.32,2512.73,3.92,1.81,5.78,0.77
119.34,2513.20,4.11,1.94,6.40,1.00
119.36,2513.66,4.32,1.88,6.11,1.19
119.38,2514.12,4.21,1.91,6.25,1.08
119.40,2514.59,4.32,1.79,5.71,1.17
119.42,2515.05,4.23,1.73,5.37,1.06
119.44,2515.52,4.29,1.72,5.35,1.13
119.46,2515.98,4.30,1.90,6.21,1.18
119.48,2516.45,4.29,1.73,5.40,1.12
119.50,2516.91,4.43,1.75,5.50,1.27
119.52,2517.37,4.21,1.62,4.82,1.02
119.54,2517.84,4.39,1.88,6.14,1.26
119.56,2518.30,4.32,2.14,7.26,1.24
119.58,2518.77,4.53,1.54,4.39,1.31
119.60,2519.23,4.35,1.81,5.77,1.20
119.62,2519.70,4.30,1.58,4.62,1.10
119.64,2520.16,4.44,1.60,4.71,1.24
119.66,2520.63,4.23,1.58,4.59,1.02
119.68,2521.09,4.29,1.70,5.23,1.12
119.70,2521.55,4.24,1.64,4.92,1.05
119.72,2522.02,4.28,1.75,5.49,1.12
119.74,2522.48,4.20,1.76,5.55,1.04
119.76,2522.95,4.00,1.73,5.38,0.83
119.78,2523.41,4.08,1.61,4.79,0.89
119.80,2523.88,4.13,1.56,4.50,0.92
119.82,2524.34,4.21,1.62,4.80,1.02
119.84,2524.81,4.19,1.66,5.03,1.01
119.86,2525.27,4.19,1.67,5.09,1.01
119.88,2525.73,4.20,1.56,4.52,0.99
119.90,2526.20,4.09,1.71,5.31,0.92
119.92,2526.66,4.20,1.62,4.82,1.01
119.94,2527.13,4.01,1.61,4.77,0.81
119.96,2527.59,4.12,1.52,4.25,0.90
119.98,2528.06,4.13,1.75,5.49,0.97
120.00,2528.52,4.03,1.69,5.20,0.85
120.02,2528.99,4.22,1.46,3.91,0.98
120.04,2529.45,4.05,1.54,4.39,0.84
120.06,2529.91,4.00,1.45,3.83,0.76
120.08,2530.38,4.20,1.60,4.73,1.00
120.10,2530.84,4.08,1.75,5.53,0.92
120.12,2531.31,4.16,1.60,4.72,0.96
120.14,2531.77,3.98,1.72,5.36,0.81
120.16,2532.24,4.15,1.73,5.42,0.99
120.18,2532.70,3.97,1.89,6.17,0.85
120.20,2533.16,4.01,1.79,5.72,0.86
120.22,2533.63,3.97,1.87,6.07,0.84
120.24,2534.09,3.93,1.85,6.00,0.80
120.26,2534.56,3.95,2.01,6.72,0.85
120.28,2535.02,4.01,1.64,4.96,0.82
120.30,2535.49,3.89,2.11,7.16,0.81
120.32,2535.95,3.98,2.00,6.68,0.87
120.34,2536.42,3.93,1.94,6.39,0.81
120.36,2536.88,3.88,1.94,6.41,0.76
120.38,2537.34,3.84,,,
120.40,2537.81,3.89,,,
120.42,2538.27,3.82,1.77,5.62,0.67
120.44,2538.74,3.72,1.92,6.31,0.60
120.46,2539.17,3.32,1.94,6.40,0.20
120.48,2539.59,3.41,1.84,5.95,0.27
120.50,2540.02,3.25,1.85,6.00,0.12
120.52,2540.45,3.25,1.99,6.64,0.15
120.54,2540.88,3.42,1.99,6.62,0.32
120.56,2541.27,3.11,1.94,6.43,-0.01
120.58,2541.67,3.33,1.95,6.45,0.21
120.60,2542.07,3.11,1.88,6.16,-0.02
120.62,2542.47,2.97,2.09,7.08,-0.12
120.64,2542.87,3.05,1.97,6.56,-0.05
120.66,2543.27,3.07,2.16,7.35,0.01
120.68,2543.67,2.97,1.78,5.65,-0.18
120.70,2544.07,2.78,1.99,6.65,-0.33
120.72,2544.47,2.84,2.22,7.60,-0.22
120.74,2544.87,3.01,2.05,6.92,-0.08
120.76,2545.26,2.65,1.88,6.12,-0.48
120.78,2545.66,2.93,2.18,7.44,-0.14
120.80,2546.06,2.75,1.93,6.38,-0.37
120.82,2546.46,2.76,2.01,6.72,-0.34
120.84,2546.86,2.88,2.31,7.95,-0.16
120.86,2547.26,2.63,2.11,7.17,-0.44
120.88,2547.66,2.74,2.24,7.69,-0.31
120.90,2548.06,2.69,2.12,7.19,-0.38
120.92,2548.46,2.76,2.03,6.82,-0.33
120.94,2548.85,2.76,2.22,7.62,-0.30
121.02,2550.45,3.12,2.26,7.77,0.07
121.04,2550.85,2.86,2.20,7.52,-0.19
121.10,2552.05,3.13,2.20,7.52,0.07
121.14,2552.84,3.18,2.16,7.38,0.11
121.18,2553.64,3.17,1.91,6.27,0.05
121.22,2554.44,3.24,1.94,6.43,0.13
121.24,2554.84,3.05,2.23,7.67,0.00
121.26,2555.24,3.14,2.11,7.15,0.06
121.32,2556.43,3.38,1.95,6.47,0.27
121.34,2556.83,3.00,1.89,6.21,-0.12
121.36,2557.21,3.39,2.02,6.80,0.30
121.38,2557.59,3.23,2.45,8.48,0.22
121.42,2558.35,3.15,1.94,6.42,0.04
121.49,2559.65,3.35,2.06,6.96,0.26
121.59,2561.30,3.54,2.02,6.79,0.44
121.66,2562.40,3.82,2.01,6.75,0.72
121.74,2563.72,3.56,2.00,6.71,0.46
121.78,2564.37,3.62,2.16,7.39,0.55
121.82,2565.03,3.77,2.24,7.70,0.72
121.86,2565.69,,2.15,7.36,
121.98,2567.67,3.52,2.20,7.55,0.46
122.06,2568.99,3.73,2.40,8.29,0.71
122.14,2570.31,3.50,2.03,6.84,0.41
122.22,2571.62,3.40,2.03,6.82,0.31
122.30,2572.94,3.39,2.39,8.28,0.37
122.38,2574.25,3.59,2.24,7.71,0.54
122.46,2575.57,3.27,2.01,6.76,0.17
122.54,2577.12,3.19,2.45,8.49,0.18
122.62,2578.67,3.33,,,
122.82,2583.08,3.16,2.21,7.59,0.10
122.90,2584.90,3.20,2.02,6.81,0.11
122.97,2586.46,3.14,1.98,6.63,0.04
123.00,2587.11,3.25,2.28,7.87,0.21
123.05,2588.40,3.18,2.96,10.16,0.25
123.11,2589.70,3.26,2.76,9.55,0.30
123.14,2590.35,3.35,2.10,7.14,0.27
123.18,2591.29,3.36,1.90,6.26,0.24
123.22,2592.24,3.42,2.00,6.73,0.32
123.26,2593.18,3.66,1.90,6.26,0.54
123.30,2594.13,3.69,1.90,6.30,0.57
123.34,2595.07,3.78,2.24,7.72,0.73
123.38,2596.08,3.68,2.19,7.51,0.62
123.42,2597.09,3.90,1.79,5.75,0.75
123.46,2598.09,3.87,2.44,8.47,0.86
123.50,2599.10,3.76,2.69,9.32,0.79
123.54,2600.11,3.64,,,
123.62,2602.13,3.61,2.22,7.65,0.56
123.70,2604.14,4.03,1.65,5.05,0.85
123.78,2606.16,4.11,1.75,5.59,0.95
123.86,2608.17,3.80,1.81,5.85,0.66
123.94,2610.19,3.95,1.72,5.40,0.78
124.02,2612.13,3.91,1.91,6.35,0.79
124.10,2614.08,3.10,1.96,6.57,-0.01
124.18,2615.93,3.69,1.64,4.98,0.50
124.26,2617.68,3.12,1.75,5.60,-0.04
124.34,2619.43,3.49,1.84,6.01,0.36
124.42,2621.18,3.35,1.96,6.58,0.24
124.50,2622.92,3.18,1.74,5.51,0.02
"124,52",2623.36,3.43,1.97,6.62,0.32
"124,54",2625.00,3.35,1.99,6.71,0.25
"124,78",2627.79,,2.02,6.84,
124.74,2628.17,2.86,2.20,7.59,-0.20
"124,79",2629.32,3.33,2.02,6.82,0.24
"124,81",2629.70,,,,
"124,83",2630.20,3.35,2.05,7.01,0.26
"124,86",2630.74,3.25,2.15,7.41,0.19
"124,88",2631.24,3.35,1.82,5.97,0.21
"124,9",2631.67,3.36,1.89,6.27,0.24
"124,92",2632.11,3.16,1.99,6.74,0.06
124.94,2632.55,3.06,2.29,7.94,0.02
"124,94",2632.55,3.43,2.51,8.75,0.43
125.00,2633.70,3.38,2.51,8.75,0.38
125.05,2634.66,3.50,1.88,6.21,0.38
125.15,2636.57,3.63,2.36,8.20,0.61
125.25,2638.49,3.48,1.76,5.65,0.33
125.35,2640.41,3.63,2.12,7.28,0.56
125.40,2641.37,3.79,1.83,6.01,0.66
125.45,2642.32,3.74,2.08,7.11,0.66
125.55,2644.24,3.70,,,
125.65,2646.02,3.70,2.00,6.76,0.60
125.76,2647.98,3.73,1.96,6.60,0.63
125.86,2649.77,,2.59,9.06,
125.96,2651.63,3.30,2.18,7.55,0.24
126.06,2654.09,2.98,2.81,9.76,0.03
126.16,2656.55,3.15,2.11,7.26,0.08
126.26,2659.01,2.98,2.38,8.33,-0.04
126.31,2660.24,3.26,2.40,8.39,0.24
126.36,2661.47,2.86,,,
126.41,2662.70,3.14,1.80,5.87,0.00
126.46,2663.93,3.07,2.64,9.23,0.10
126.51,2665.16,,2.11,7.27,
126.56,2666.39,3.12,2.58,9.03,0.14
126.61,2667.62,3.30,2.13,7.35,0.23
126.66,2668.85,3.10,,,
126.71,2670.08,3.24,2.29,7.99,0.20
126.76,2671.31,3.55,,,
126.81,2672.54,3.35,3.08,10.59,0.44
126.86,2673.77,3.01,2.28,7.96,-0.03
126.96,2676.23,3.08,2.80,9.75,0.13
127.06,2678.70,3.53,,,
127.16,2680.81,3.41,2.25,7.83,0.37
127.26,2682.42,3.77,1.95,6.58,0.66
127.31,2683.23,3.68,2.00,6.83,0.59
127.36,2684.04,4.08,2.37,8.30,1.06
127.46,2685.65,3.99,1.98,6.72,0.89
127.56,2687.26,3.92,2.04,7.01,0.84
127.66,2688.88,4.00,1.85,6.12,0.87
127.76,2690.63,3.80,2.12,7.32,0.73
127.86,2692.70,3.70,2.07,7.13,0.62
127.96,2694.76,3.43,2.46,8.63,0.43
128.06,2696.83,3.60,2.34,8.20,0.58
128.16,2698.89,3.60,,,
128.26,2700.96,3.50,2.39,8.40,0.48
128.36,2703.02,3.74,2.11,7.32,0.67
128.46,2705.02,3.79,2.24,7.85,0.75
128.51,2705.99,4.06,1.97,6.69,0.96
128.56,2706.95,3.80,2.13,7.39,0.73
128.61,2707.92,4.01,1.51,4.37,0.79
128.66,2708.88,4.05,1.95,6.63,0.95
128.71,2709.85,4.02,1.74,5.60,0.86
128.76,2710.81,3.90,2.12,7.33,0.83
128.81,2711.77,4.08,,,
128.86,2712.73,4.23,1.94,6.55,1.12
128.91,2713.70,4.19,1.97,6.73,1.09
128.96,2714.66,4.16,2.23,7.79,1.11
129.01,2715.63,4.24,1.71,5.46,1.08
129.06,2716.59,3.96,1.83,6.06,0.83
129.16,2718.52,3.95,1.46,4.09,0.72
129.26,2720.45,4.09,1.54,4.54,0.88
129.36,2722.38,4.05,1.72,5.52,0.89
129.46,2724.31,3.60,1.87,6.24,0.48
129.56,2726.23,3.90,2.07,7.14,0.82
129.66,2728.16,3.85,2.18,7.61,0.80
129.76,2730.09,3.65,2.21,7.71,0.60
129.86,2732.22,3.53,2.28,8.01,0.50
129.96,2734.53,3.29,2.35,8.25,0.27
130.06,2736.84,3.41,2.07,7.13,0.33
130.16,2739.16,3.05,2.07,7.15,-0.03
130.26,2741.47,3.16,2.49,8.76,0.16
130.36,2743.78,3.12,2.04,7.02,0.04
"130,38",2744.24,3.17,2.05,7.05,0.09
"130,4",2744.70,,,,
"130,42",2745.17,2.99,1.98,6.78,-0.11
"130,44",2745.63,3.12,2.38,8.38,0.11
130.46,2746.09,2.91,2.50,8.82,-0.08
"130,46",2746.09,3.08,2.23,7.81,0.03
"130,48",2746.55,,2.09,7.22,
"130,5",2747.01,3.16,1.98,6.76,0.06
"130,52",2747.48,,,,
"130,54",2748.05,,,,
130.56,2748.40,2.62,2.44,8.61,-0.38
"130,58",2748.75,,,,
"130,6",2749.33,3.08,2.03,6.99,0.00
130.61,2749.56,3.12,2.03,6.99,0.03
"130,62",2749.79,3.08,1.99,6.82,-0.02
130.66,2750.72,3.03,2.46,8.67,0.03
130.71,2751.96,3.04,2.27,7.97,0.00
130.76,2753.20,3.26,2.51,8.85,0.27
130.81,2754.56,3.23,2.35,8.27,0.21
130.86,2755.91,3.50,3.02,10.47,0.59
130.91,2757.27,3.29,2.11,7.33,0.22
130.96,2758.63,3.46,1.93,6.55,0.35
131.01,2759.99,3.41,2.14,7.45,0.35
131.06,2761.34,3.34,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
