depth,age_ka,d13C
114.12,2413.8,1.12
114.22,2415.8,0.89
114.32,2417.8,1.01
114.42,2419.8,1.17
114.52,2421.7,0.91
114.62,2423.7,0.5
114.72,2425.7,0.93
114.82,2427.6,0.49
114.92,2429.6,0.14
115.02,2431.6,0.29
115.12,2433.6,0.18
115.22,2435.5,0.27
115.32,2437.5,0.6
115.42,2439.5,0.06
115.52,2441.4,0.84
115.62,2443.4,0.26
115.72,2445.4,0.7
115.82,2447.4,0.53
115.92,2449.3,0.36
116.04,2451.7,0.71
116.14,2453.5,0.61
116.24,2455.2,-0.08
116.34,2456.9,0.14
116.44,2458.6,0.86
116.54,2460.3,0.94
116.62,2461.6,1
116.72,2463.3,0.85
116.82,2465,1.05
116.92,2466.7,1.1
117.02,2468.4,0.99
117.12,2470,0.81
117.22,2471.7,1
117.32,2473.4,0.83
117.42,2475.1,0.76
117.52,2476.8,0.59
117.62,2478.5,0.04
117.72,2480.7,-0.13
117.82,2483,-0.15
117.92,2485.4,0.06
118.02,2487.7,0.18
118.12,2490,0.57
118.22,2492.4,0.3
118.32,2494.7,0.82
118.42,2496.4,0.93
118.52,2498.2,0.82
118.62,2500,0.82
118.72,2501.7,0.78
118.92,2505.3,0.78
119.02,2507,0.74
119.12,2508.8,0.76
119.22,2510.5,0.36
119.32,2512.7,0.07
119.42,2515.1,0.42
119.52,2517.4,-0.03
119.62,2519.7,-0.23
119.72,2522,-0.45
119.82,2524.3,0.35
119.92,2526.7,-0.08
120.02,2529,-0.3
120.12,2531.3,0.12
120.22,2533.6,0.22
120.32,2536,0.67
120.42,2538.3,0.43
120.44,2538.7,0.78
120.54,2540.9,0.77
120.64,2542.9,0.83
120.74,2544.9,1.04
120.84,2546.9,1.15
120.94,2548.9,0.95
121.04,2550.9,1.01
121.14,2552.8,0.95
121.24,2554.8,0.99
121.34,2556.8,0.83
121.46,2559.1,0.9
121.56,2560.8,1.02
121.66,2562.4,0.95
121.76,2564.1,0.91
121.86,2565.7,1
121.96,2567.3,0.6
122.06,2569,1.02
122.16,2570.6,0.98
122.26,2572.3,0.94
122.36,2573.9,0.95
122.46,2575.6,0.84
122.56,2577.2,0.13
122.66,2579.5,0.83
122.74,2581.3,0.99
122.8,2582.6,1.33
122.84,2583.5,1.05
122.94,2585.8,0.59
123.04,2588.1,0.93
123.14,2590.4,0.2
123.24,2592.6,0.77
123.34,2595.1,0.76
123.44,2597.6,0.66
123.54,2600.1,0.38
123.64,2602.6,0.16
123.74,2605.2,0.94
