d13C,d18O,foram_species,depth_mcd,age_ka
1.43,3.12,CWUE,0.106454,2.68937
1.23,3.25,CWUE,0.203231,5.13426
0.72,3.78,CWUE,0.300008,7.57915
0.31,4.26,CWUE,0.396785,10.02400
0.33,4.37,CWUE,0.493562,12.46890
0.12,5.01,CBRA,0.590340,14.91380
0.28,4.89,CBRA,0.687117,17.35870
0.41,4.68,CSPP,0.783893,19.80360
0.41,4.77,CWUE,0.783893,19.80360
0.36,4.67,CWUE,0.880670,22.24850
0.35,4.62,CSPP,0.979800,24.62580
0.79,4.42,CWUE,1.084890,26.83280
0.72,4.58,CWUE,1.189980,29.03960
0.80,4.34,CWUE,1.295060,31.24630
0.38,4.38,CWUE,1.295060,31.24630
0.88,4.38,CWUE,1.400160,33.45330
0.55,4.33,CWUE,1.715410,40.07360
0.96,4.28,CWUE,1.820510,42.28060
0.51,4.00,CWUE,1.925590,44.48740
1.02,4.34,CWUE,2.024390,46.75820
0.89,4.12,CSPP,2.121290,49.04870
0.60,4.09,CWUE,2.218180,51.33890
0.85,4.28,CWUE,2.315080,53.62910
0.84,4.22,CWUE,2.315080,53.62910
0.35,4.29,CWUE,2.411980,55.91950
0.19,4.22,CWUE,2.508870,58.20980
0.05,4.53,CWUE,2.605770,60.50000
0.21,4.52,CWUE,2.702670,62.79040
-0.01,4.47,CWUE,2.799570,65.08060
0.48,4.32,CWUE,2.896460,67.37090
0.54,4.33,CWUE,2.896460,67.37090
0.32,4.11,CSPP,2.983670,69.43210
0.40,4.07,CWUE,3.090260,72.68350
1.12,3.78,CWUE,3.187150,76.73540
1.16,3.84,CWUE,3.284040,80.78730
1.20,3.68,CWUE,3.284040,80.78730
1.28,3.76,CWUE,3.380950,84.83960
-0.18,4.06,CWUE,3.477840,88.89160
0.22,4.08,CWUE,3.477840,88.89160
1.21,3.87,CWUE,3.669200,95.85650
1.17,3.56,CWUE,3.949970,103.38900
1.00,3.53,CSPP,4.043570,105.98700
0.87,3.83,CSPP,4.043570,105.98700
0.42,3.62,CWUE,4.137160,108.74000
-0.14,3.89,CSPP,4.230750,111.49300
0.86,3.85,CWUE,4.230750,111.49300
0.82,3.97,CSPP,4.420110,116.95700
1.01,3.67,CSPP,4.543310,120.39500
1.05,3.48,CSPP,4.655330,123.52100
1.06,3.41,CKULL,4.655330,123.52100
0.45,2.98,CSPP,4.767330,126.64600
0.86,2.76,CSPP,4.866560,128.82200
0.07,3.40,CKULL,4.866560,128.82200
0.26,3.83,CWUE,4.957940,130.74600
0.71,2.92,CKULL,4.957940,130.74600
0.16,3.78,CSPP,5.049310,132.67000
0.18,4.71,CWUE,5.138800,134.55400
0.60,4.79,CWUE,5.225100,136.37100
0.31,4.75,CWUE,5.311420,138.18800
0.28,4.85,CWUE,5.398830,140.09000
0.33,4.62,CSPP,5.487140,142.06200
0.29,4.74,CWUE,5.575440,144.03400
0.21,4.53,CSPP,5.663750,146.00600
-0.64,4.36,NUMB,5.663750,146.00600
0.55,3.84,CSPP,5.752050,147.97800
-0.48,4.34,NUMB,5.752050,147.97800
-0.06,4.47,CWUE,5.831520,149.75200
0.13,4.65,CWUE,6.016960,153.89300
0.80,4.45,CWUE,6.105260,155.86500
0.65,4.32,CSPP,6.193570,157.83700
0.08,4.54,CSPP,6.281870,159.80900
0.24,4.40,CSPP,6.370180,161.78100
0.88,4.34,CWUE,6.370180,161.78100
0.91,3.91,CSPP,7.504500,190.91600
1.05,3.45,CWUE,7.610000,193.62900
1.05,3.47,CWUE,7.710000,196.20000
0.51,3.76,CWUE,7.710000,196.20000
1.13,3.55,CWUE,7.810000,198.88000
1.04,3.24,CWUE,7.910000,201.81300
0.92,3.56,CWUE,8.010000,204.74700
1.14,3.49,CWUE,8.110900,207.70600
1.19,3.47,CWUE,8.219900,210.90400
1.04,3.29,CKULL,8.437900,217.29800
0.68,3.33,CKULL,8.546900,220.41300
0.08,3.64,CWUE,8.655900,223.07800
0.33,4.40,CWUE,8.764900,225.74200
0.11,4.21,CWUE,8.764900,225.74200
0.02,4.25,CWUE,8.764900,225.74200
0.93,4.24,CWUE,8.982900,231.08300
0.31,4.10,CWUE,9.091900,234.19700
0.67,4.18,CWUE,9.202180,237.34800
1.00,3.65,CWUE,9.324000,240.82900
0.96,3.06,CWUE,9.445820,243.85900
-0.04,3.33,CSPP,9.567640,246.14300
0.08,4.06,CWUE,9.567640,246.14300
0.36,4.25,CKULL,9.689450,248.42700
0.46,4.11,CSPP,9.811270,250.71100
0.68,4.53,CWUE,9.910340,252.71200
0.63,4.44,CWUE,10.087000,256.85900
0.84,4.62,CWUE,10.123500,257.71800
0.67,4.44,CWUE,10.190100,259.28000
0.66,4.30,CWUE,10.224900,260.09800
0.77,4.18,CWUE,10.224900,260.09800
0.73,4.27,CWUE,10.293200,261.70000
0.09,4.22,CSPP,10.316100,262.23800
0.56,4.37,CWUE,10.396300,264.12300
0.67,4.35,CWUE,10.427600,264.85600
-0.25,4.30,CWUE,10.499400,266.54300
-0.27,4.49,CWUE,10.528900,267.23600
-0.25,4.50,CWUE,10.598200,268.86200
-0.36,4.44,CWUE,10.598200,268.86200
-0.36,4.39,CWUE,10.629200,269.58900
-0.23,4.57,CWUE,10.629200,269.58900
-0.24,4.47,CWUE,10.689800,271.01300
-0.07,4.32,CWUE,10.781300,273.16200
-0.02,4.51,CWUE,10.824200,274.16700
-0.04,4.41,CWUE,10.872900,275.31200
0.11,4.24,CWUE,10.964500,277.46100
-0.42,4.44,CWUE,11.013700,278.61800
0.18,3.85,CWUE,11.331300,288.39200
-0.12,4.08,CWUE,11.410700,290.86700
-0.02,4.09,CWUE,11.490100,293.34200
0.04,4.22,CWUE,11.490100,293.34200
-0.05,4.03,CWUE,11.569500,295.81700
0.48,4.34,CWUE,11.641000,298.04500
-0.03,4.05,CWUE,11.728300,300.76500
1.10,4.15,CWUE,11.810400,303.34600
1.00,4.22,CWUE,11.917500,306.91800
1.14,3.79,CWUE,11.917500,306.91800
-0.14,4.23,CSPP,12.121200,313.70700
0.64,3.47,CWUE,12.264100,318.46900
0.68,3.53,CWUE,12.335500,320.85000
0.30,3.67,CWUE,12.411100,323.29000
